site,lat,lon,model,scenario,days,precip_mean_mm_day,precip_total_mm,tasmax_mean_c,tasmin_mean_c
Cusco,-13.5319,-71.9675,MRI-ESM2-0,ssp245,7,3.514,24.6,19.317,6.359
Lodwar,3.119,35.5973,MRI-ESM2-0,ssp245,7,0.207,1.449,36.252,24.059
Nairobi,-1.286,36.817,MRI-ESM2-0,ssp245,7,2.567,17.97,26.008,15.42
Cusco,-13.5319,-71.9675,ACCESS-CM2,ssp245,7,3.501,24.509,19.244,6.237
Lodwar,3.119,35.5973,ACCESS-CM2,ssp245,7,0.572,4.004,37.497,25.852
Nairobi,-1.286,36.817,ACCESS-CM2,ssp245,7,3.71,25.972,28.263,16.617
Cusco,-13.5319,-71.9675,MRI-ESM2-0,ssp585,7,5.407,37.847,21.443,8.187
Lodwar,3.119,35.5973,MRI-ESM2-0,ssp585,7,0.298,2.083,34.957,24.135
Nairobi,-1.286,36.817,MRI-ESM2-0,ssp585,7,8.466,59.263,24.805,16.711
Cusco,-13.5319,-71.9675,ACCESS-CM2,ssp585,7,5.304,37.126,19.95,7.442
Lodwar,3.119,35.5973,ACCESS-CM2,ssp585,7,1.473,10.308,32.476,21.717
Nairobi,-1.286,36.817,ACCESS-CM2,ssp585,7,5.095,35.668,23.778,15.18
