site,lat,lon,model,scenario,days,precip_mean_mm_day,precip_total_mm,tasmax_mean_c,tasmin_mean_c
Addis_Ababa,8.9806,38.7578,MRI-ESM2-0,historical,30,1.078,32.353,25.439,11.004
Bamako,12.6392,-8.0029,MRI-ESM2-0,historical,30,0.0,0.0,34.33,18.474
Cajamarca,-7.1617,-78.5128,MRI-ESM2-0,historical,30,11.485,344.54,20.416,7.167
Cusco,-13.5319,-71.9675,MRI-ESM2-0,historical,30,4.215,126.453,17.094,5.15
Kampala,0.3476,32.5825,MRI-ESM2-0,historical,30,5.45,163.494,29.008,18.206
La_Paz,-16.4897,-68.1193,MRI-ESM2-0,historical,30,2.757,82.716,12.145,0.724
Lodwar,3.119,35.5973,MRI-ESM2-0,historical,30,0.879,26.377,35.449,21.679
Nairobi,-1.286,36.817,MRI-ESM2-0,historical,30,6.358,190.728,25.965,14.659
Niamey,13.5116,2.1254,MRI-ESM2-0,historical,30,0.0,0.0,35.397,19.399
Quito,-0.1807,-78.4678,MRI-ESM2-0,historical,30,4.681,140.434,23.024,9.836
