site,lat,lon,model,scenario,days,precip_mean_mm_day,precip_total_mm,tasmax_mean_c,tasmin_mean_c
Addis_Ababa,8.9806,38.7578,MRI-ESM2-0,ssp245,30,0.024,0.726,25.307,9.607
Bamako,12.6392,-8.0029,MRI-ESM2-0,ssp245,30,0.0,0.0,32.539,17.12
Cajamarca,-7.1617,-78.5128,MRI-ESM2-0,ssp245,30,4.905,147.139,20.834,7.651
Cusco,-13.5319,-71.9675,MRI-ESM2-0,ssp245,30,6.222,186.658,18.397,6.563
Kampala,0.3476,32.5825,MRI-ESM2-0,ssp245,30,3.157,94.705,30.835,19.388
La_Paz,-16.4897,-68.1193,MRI-ESM2-0,ssp245,30,5.233,157.004,13.267,2.317
Lodwar,3.119,35.5973,MRI-ESM2-0,ssp245,30,0.258,7.731,36.359,23.211
Nairobi,-1.286,36.817,MRI-ESM2-0,ssp245,30,1.461,43.828,25.733,15.133
Niamey,13.5116,2.1254,MRI-ESM2-0,ssp245,30,0.0,0.0,32.49,17.73
Quito,-0.1807,-78.4678,MRI-ESM2-0,ssp245,30,6.487,194.617,23.608,11.039
