workload_label,period,models,sites_or_policy,chunk_days,point_batch_size,worker_count,rows_per_second,quota_lines,retry_lines,interpretation
historical_1991_3models,1991,3,10_sites,365,25,1,903.454,0,0,baseline_small_job
historical_1991_3models,1991,3,10_sites,365,25,2,918.830,0,0,small_job
historical_1991_3models,1991,3,10_sites,365,25,4,975.226,0,0,small_job
historical_1991_3models,1991,3,10_sites,365,25,6,1107.633,0,0,small_job_best_observed
historical_1991_3models,1991,3,10_sites,365,25,8,1006.114,0,0,small_job_still_good
historical_1991_3models,1991,3,10_sites,365,25,10,899.580,0,0,small_job_reversal
historical_1985_2014_3models,1985_2014,3,10_sites,365,25,4,1484.741,0,0,large_job_low_worker
historical_1985_2014_3models,1985_2014,3,10_sites,365,25,6,1863.862,0,0,large_job
historical_1985_2014_3models,1985_2014,3,10_sites,365,25,8,2711.763,0,0,large_job_good_default
historical_1985_2014_3models,1985_2014,3,10_sites,365,25,10,2659.120,0,0,large_job
historical_1985_2014_3models,1985_2014,3,10_sites,365,25,12,3041.319,0,0,large_job_plateau_band
historical_1985_2014_3models,1985_2014,3,10_sites,365,25,16,3082.351,0,0,large_job_best_observed
historical_1985_2014_3models,1985_2014,3,10_sites,365,25,20,3039.433,0,0,large_job_plateau_band
historical_1985_2014_3models,1985_2014,3,10_sites,365,25,24,2889.091,0,0,large_job_decline
historical_1985_2014_3models,1985_2014,3,10_sites,365,25,32,2834.296,0,0,large_job_decline
cusco_all18_policy,1985_2014,18,single_site_policy,365,25,8,1208.882,0,0,policy_job
cusco_all18_policy,1985_2014,18,single_site_policy,365,25,12,1610.685,0,0,policy_job
cusco_all18_policy,1985_2014,18,single_site_policy,365,25,16,1881.081,0,0,policy_job_best_observed
nairobi_policy,1985_2014,regional_pool,single_site_policy,365,25,8,779.952,0,0,policy_job
nairobi_policy,1985_2014,regional_pool,single_site_policy,365,25,12,1146.429,0,0,policy_job
nairobi_policy,1985_2014,regional_pool,single_site_policy,365,25,16,1190.048,0,0,policy_job_best_observed
