date_start,date_end,site_count,rows,seconds,label,cache_hit,cache_path,model,scenario
1985-01-01,1985-12-31,3,1095,5.62,1985-01-01:1985-12-31 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/historical/ACCESS-CM2/1985-01-01_1985-12-31_sites3_c0f7d05dac86.parquet,ACCESS-CM2,historical
1986-01-01,1986-12-31,3,1095,4.84,1986-01-01:1986-12-31 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/historical/ACCESS-CM2/1986-01-01_1986-12-31_sites3_c0f7d05dac86.parquet,ACCESS-CM2,historical
1987-01-01,1987-12-31,3,1095,4.0,1987-01-01:1987-12-31 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/historical/ACCESS-CM2/1987-01-01_1987-12-31_sites3_c0f7d05dac86.parquet,ACCESS-CM2,historical
1988-01-01,1988-12-30,3,1095,6.67,1988-01-01:1988-12-30 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/historical/ACCESS-CM2/1988-01-01_1988-12-30_sites3_c0f7d05dac86.parquet,ACCESS-CM2,historical
1988-12-31,1989-12-30,3,1095,7.09,1988-12-31:1989-12-30 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/historical/ACCESS-CM2/1988-12-31_1989-12-30_sites3_c0f7d05dac86.parquet,ACCESS-CM2,historical
1989-12-31,1990-12-30,3,1095,4.98,1989-12-31:1990-12-30 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/historical/ACCESS-CM2/1989-12-31_1990-12-30_sites3_c0f7d05dac86.parquet,ACCESS-CM2,historical
1990-12-31,1991-12-30,3,1095,2.08,1990-12-31:1991-12-30 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/historical/ACCESS-CM2/1990-12-31_1991-12-30_sites3_c0f7d05dac86.parquet,ACCESS-CM2,historical
1991-12-31,1992-12-29,3,1095,4.19,1991-12-31:1992-12-29 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/historical/ACCESS-CM2/1991-12-31_1992-12-29_sites3_c0f7d05dac86.parquet,ACCESS-CM2,historical
1992-12-30,1993-12-29,3,1095,3.47,1992-12-30:1993-12-29 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/historical/ACCESS-CM2/1992-12-30_1993-12-29_sites3_c0f7d05dac86.parquet,ACCESS-CM2,historical
1993-12-30,1994-12-29,3,1095,5.17,1993-12-30:1994-12-29 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/historical/ACCESS-CM2/1993-12-30_1994-12-29_sites3_c0f7d05dac86.parquet,ACCESS-CM2,historical
1994-12-30,1995-12-29,3,1095,3.58,1994-12-30:1995-12-29 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/historical/ACCESS-CM2/1994-12-30_1995-12-29_sites3_c0f7d05dac86.parquet,ACCESS-CM2,historical
1995-12-30,1996-12-28,3,1095,3.31,1995-12-30:1996-12-28 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/historical/ACCESS-CM2/1995-12-30_1996-12-28_sites3_c0f7d05dac86.parquet,ACCESS-CM2,historical
1996-12-29,1997-12-28,3,1095,7.59,1996-12-29:1997-12-28 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/historical/ACCESS-CM2/1996-12-29_1997-12-28_sites3_c0f7d05dac86.parquet,ACCESS-CM2,historical
1997-12-29,1998-12-28,3,1095,5.53,1997-12-29:1998-12-28 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/historical/ACCESS-CM2/1997-12-29_1998-12-28_sites3_c0f7d05dac86.parquet,ACCESS-CM2,historical
1998-12-29,1999-12-28,3,1095,8.17,1998-12-29:1999-12-28 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/historical/ACCESS-CM2/1998-12-29_1999-12-28_sites3_c0f7d05dac86.parquet,ACCESS-CM2,historical
1999-12-29,2000-12-27,3,1095,6.23,1999-12-29:2000-12-27 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/historical/ACCESS-CM2/1999-12-29_2000-12-27_sites3_c0f7d05dac86.parquet,ACCESS-CM2,historical
2000-12-28,2001-12-27,3,1095,3.94,2000-12-28:2001-12-27 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/historical/ACCESS-CM2/2000-12-28_2001-12-27_sites3_c0f7d05dac86.parquet,ACCESS-CM2,historical
2001-12-28,2002-12-27,3,1095,6.48,2001-12-28:2002-12-27 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/historical/ACCESS-CM2/2001-12-28_2002-12-27_sites3_c0f7d05dac86.parquet,ACCESS-CM2,historical
2002-12-28,2003-12-27,3,1095,10.07,2002-12-28:2003-12-27 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/historical/ACCESS-CM2/2002-12-28_2003-12-27_sites3_c0f7d05dac86.parquet,ACCESS-CM2,historical
2003-12-28,2004-12-26,3,1095,4.2,2003-12-28:2004-12-26 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/historical/ACCESS-CM2/2003-12-28_2004-12-26_sites3_c0f7d05dac86.parquet,ACCESS-CM2,historical
2004-12-27,2005-12-26,3,1095,4.4,2004-12-27:2005-12-26 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/historical/ACCESS-CM2/2004-12-27_2005-12-26_sites3_c0f7d05dac86.parquet,ACCESS-CM2,historical
2005-12-27,2006-12-26,3,1095,7.7,2005-12-27:2006-12-26 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/historical/ACCESS-CM2/2005-12-27_2006-12-26_sites3_c0f7d05dac86.parquet,ACCESS-CM2,historical
2006-12-27,2007-12-26,3,1095,7.16,2006-12-27:2007-12-26 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/historical/ACCESS-CM2/2006-12-27_2007-12-26_sites3_c0f7d05dac86.parquet,ACCESS-CM2,historical
