date_start,date_end,site_count,rows,seconds,label,cache_hit,cache_path,model,scenario
1991-01-01,1991-03-31,3,270,2.63,1991-01-01:1991-03-31 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/historical/ACCESS-CM2/1991-01-01_1991-03-31_sites3_c0f7d05dac86.parquet,ACCESS-CM2,historical
1991-04-01,1991-06-29,3,270,1.73,1991-04-01:1991-06-29 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/historical/ACCESS-CM2/1991-04-01_1991-06-29_sites3_c0f7d05dac86.parquet,ACCESS-CM2,historical
1991-06-30,1991-09-27,3,270,3.17,1991-06-30:1991-09-27 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/historical/ACCESS-CM2/1991-06-30_1991-09-27_sites3_c0f7d05dac86.parquet,ACCESS-CM2,historical
1991-09-28,1991-12-26,3,270,2.88,1991-09-28:1991-12-26 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/historical/ACCESS-CM2/1991-09-28_1991-12-26_sites3_c0f7d05dac86.parquet,ACCESS-CM2,historical
1991-12-27,1991-12-31,3,15,1.28,1991-12-27:1991-12-31 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/historical/ACCESS-CM2/1991-12-27_1991-12-31_sites3_c0f7d05dac86.parquet,ACCESS-CM2,historical
1991-01-01,1991-03-31,3,270,3.01,1991-01-01:1991-03-31 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/historical/EC-Earth3/1991-01-01_1991-03-31_sites3_c0f7d05dac86.parquet,EC-Earth3,historical
1991-04-01,1991-06-29,3,270,4.24,1991-04-01:1991-06-29 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/historical/EC-Earth3/1991-04-01_1991-06-29_sites3_c0f7d05dac86.parquet,EC-Earth3,historical
1991-06-30,1991-09-27,3,270,2.58,1991-06-30:1991-09-27 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/historical/EC-Earth3/1991-06-30_1991-09-27_sites3_c0f7d05dac86.parquet,EC-Earth3,historical
1991-09-28,1991-12-26,3,270,2.51,1991-09-28:1991-12-26 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/historical/EC-Earth3/1991-09-28_1991-12-26_sites3_c0f7d05dac86.parquet,EC-Earth3,historical
1991-12-27,1991-12-31,3,15,1.96,1991-12-27:1991-12-31 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/historical/EC-Earth3/1991-12-27_1991-12-31_sites3_c0f7d05dac86.parquet,EC-Earth3,historical
1991-01-01,1991-03-31,3,270,1.94,1991-01-01:1991-03-31 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/historical/MRI-ESM2-0/1991-01-01_1991-03-31_sites3_c0f7d05dac86.parquet,MRI-ESM2-0,historical
1991-04-01,1991-06-29,3,270,2.75,1991-04-01:1991-06-29 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/historical/MRI-ESM2-0/1991-04-01_1991-06-29_sites3_c0f7d05dac86.parquet,MRI-ESM2-0,historical
1991-06-30,1991-09-27,3,270,1.86,1991-06-30:1991-09-27 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/historical/MRI-ESM2-0/1991-06-30_1991-09-27_sites3_c0f7d05dac86.parquet,MRI-ESM2-0,historical
1991-09-28,1991-12-26,3,270,2.58,1991-09-28:1991-12-26 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/historical/MRI-ESM2-0/1991-09-28_1991-12-26_sites3_c0f7d05dac86.parquet,MRI-ESM2-0,historical
1991-12-27,1991-12-31,3,15,1.57,1991-12-27:1991-12-31 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/historical/MRI-ESM2-0/1991-12-27_1991-12-31_sites3_c0f7d05dac86.parquet,MRI-ESM2-0,historical
