date_start,date_end,site_count,rows,seconds,label,cache_hit,cache_path,model,scenario
1985-01-01,1985-12-31,10,3650,6.27,1985-01-01:1985-12-31 | Nairobi..Cajamarca (10 sites),False,analysis/cache/nex_gddp_many_points/v1/historical/ACCESS-CM2/1985-01-01_1985-12-31_sites10_19b8409a20c2.parquet,ACCESS-CM2,historical
1986-01-01,1986-12-31,10,3650,5.4,1986-01-01:1986-12-31 | Nairobi..Cajamarca (10 sites),False,analysis/cache/nex_gddp_many_points/v1/historical/ACCESS-CM2/1986-01-01_1986-12-31_sites10_19b8409a20c2.parquet,ACCESS-CM2,historical
1987-01-01,1987-12-31,10,3650,5.19,1987-01-01:1987-12-31 | Nairobi..Cajamarca (10 sites),False,analysis/cache/nex_gddp_many_points/v1/historical/ACCESS-CM2/1987-01-01_1987-12-31_sites10_19b8409a20c2.parquet,ACCESS-CM2,historical
1988-01-01,1988-12-30,10,3650,6.17,1988-01-01:1988-12-30 | Nairobi..Cajamarca (10 sites),False,analysis/cache/nex_gddp_many_points/v1/historical/ACCESS-CM2/1988-01-01_1988-12-30_sites10_19b8409a20c2.parquet,ACCESS-CM2,historical
1988-12-31,1989-12-30,10,3650,6.61,1988-12-31:1989-12-30 | Nairobi..Cajamarca (10 sites),False,analysis/cache/nex_gddp_many_points/v1/historical/ACCESS-CM2/1988-12-31_1989-12-30_sites10_19b8409a20c2.parquet,ACCESS-CM2,historical
1989-12-31,1990-12-30,10,3650,5.99,1989-12-31:1990-12-30 | Nairobi..Cajamarca (10 sites),False,analysis/cache/nex_gddp_many_points/v1/historical/ACCESS-CM2/1989-12-31_1990-12-30_sites10_19b8409a20c2.parquet,ACCESS-CM2,historical
1990-12-31,1991-12-30,10,3650,6.48,1990-12-31:1991-12-30 | Nairobi..Cajamarca (10 sites),False,analysis/cache/nex_gddp_many_points/v1/historical/ACCESS-CM2/1990-12-31_1991-12-30_sites10_19b8409a20c2.parquet,ACCESS-CM2,historical
1991-12-31,1992-12-29,10,3650,6.49,1991-12-31:1992-12-29 | Nairobi..Cajamarca (10 sites),False,analysis/cache/nex_gddp_many_points/v1/historical/ACCESS-CM2/1991-12-31_1992-12-29_sites10_19b8409a20c2.parquet,ACCESS-CM2,historical
1992-12-30,1993-12-29,10,3650,6.07,1992-12-30:1993-12-29 | Nairobi..Cajamarca (10 sites),False,analysis/cache/nex_gddp_many_points/v1/historical/ACCESS-CM2/1992-12-30_1993-12-29_sites10_19b8409a20c2.parquet,ACCESS-CM2,historical
1993-12-30,1994-12-29,10,3650,11.28,1993-12-30:1994-12-29 | Nairobi..Cajamarca (10 sites),False,analysis/cache/nex_gddp_many_points/v1/historical/ACCESS-CM2/1993-12-30_1994-12-29_sites10_19b8409a20c2.parquet,ACCESS-CM2,historical
1994-12-30,1995-12-29,10,3650,6.09,1994-12-30:1995-12-29 | Nairobi..Cajamarca (10 sites),False,analysis/cache/nex_gddp_many_points/v1/historical/ACCESS-CM2/1994-12-30_1995-12-29_sites10_19b8409a20c2.parquet,ACCESS-CM2,historical
1995-12-30,1996-12-28,10,3650,4.98,1995-12-30:1996-12-28 | Nairobi..Cajamarca (10 sites),False,analysis/cache/nex_gddp_many_points/v1/historical/ACCESS-CM2/1995-12-30_1996-12-28_sites10_19b8409a20c2.parquet,ACCESS-CM2,historical
1996-12-29,1997-12-28,10,3650,6.66,1996-12-29:1997-12-28 | Nairobi..Cajamarca (10 sites),False,analysis/cache/nex_gddp_many_points/v1/historical/ACCESS-CM2/1996-12-29_1997-12-28_sites10_19b8409a20c2.parquet,ACCESS-CM2,historical
1997-12-29,1998-12-28,10,3650,6.35,1997-12-29:1998-12-28 | Nairobi..Cajamarca (10 sites),False,analysis/cache/nex_gddp_many_points/v1/historical/ACCESS-CM2/1997-12-29_1998-12-28_sites10_19b8409a20c2.parquet,ACCESS-CM2,historical
1998-12-29,1999-12-28,10,3650,5.83,1998-12-29:1999-12-28 | Nairobi..Cajamarca (10 sites),False,analysis/cache/nex_gddp_many_points/v1/historical/ACCESS-CM2/1998-12-29_1999-12-28_sites10_19b8409a20c2.parquet,ACCESS-CM2,historical
1999-12-29,2000-12-27,10,3650,7.07,1999-12-29:2000-12-27 | Nairobi..Cajamarca (10 sites),False,analysis/cache/nex_gddp_many_points/v1/historical/ACCESS-CM2/1999-12-29_2000-12-27_sites10_19b8409a20c2.parquet,ACCESS-CM2,historical
2000-12-28,2001-12-27,10,3650,5.51,2000-12-28:2001-12-27 | Nairobi..Cajamarca (10 sites),False,analysis/cache/nex_gddp_many_points/v1/historical/ACCESS-CM2/2000-12-28_2001-12-27_sites10_19b8409a20c2.parquet,ACCESS-CM2,historical
2001-12-28,2002-12-27,10,3650,8.08,2001-12-28:2002-12-27 | Nairobi..Cajamarca (10 sites),False,analysis/cache/nex_gddp_many_points/v1/historical/ACCESS-CM2/2001-12-28_2002-12-27_sites10_19b8409a20c2.parquet,ACCESS-CM2,historical
2002-12-28,2003-12-27,10,3650,10.41,2002-12-28:2003-12-27 | Nairobi..Cajamarca (10 sites),False,analysis/cache/nex_gddp_many_points/v1/historical/ACCESS-CM2/2002-12-28_2003-12-27_sites10_19b8409a20c2.parquet,ACCESS-CM2,historical
2003-12-28,2004-12-26,10,3650,6.02,2003-12-28:2004-12-26 | Nairobi..Cajamarca (10 sites),False,analysis/cache/nex_gddp_many_points/v1/historical/ACCESS-CM2/2003-12-28_2004-12-26_sites10_19b8409a20c2.parquet,ACCESS-CM2,historical
2004-12-27,2005-12-26,10,3650,7.15,2004-12-27:2005-12-26 | Nairobi..Cajamarca (10 sites),False,analysis/cache/nex_gddp_many_points/v1/historical/ACCESS-CM2/2004-12-27_2005-12-26_sites10_19b8409a20c2.parquet,ACCESS-CM2,historical
2005-12-27,2006-12-26,10,3650,5.99,2005-12-27:2006-12-26 | Nairobi..Cajamarca (10 sites),False,analysis/cache/nex_gddp_many_points/v1/historical/ACCESS-CM2/2005-12-27_2006-12-26_sites10_19b8409a20c2.parquet,ACCESS-CM2,historical
2006-12-27,2007-12-26,10,3650,6.23,2006-12-27:2007-12-26 | Nairobi..Cajamarca (10 sites),False,analysis/cache/nex_gddp_many_points/v1/historical/ACCESS-CM2/2006-12-27_2007-12-26_sites10_19b8409a20c2.parquet,ACCESS-CM2,historical
2007-12-27,2008-12-25,10,3650,4.93,2007-12-27:2008-12-25 | Nairobi..Cajamarca (10 sites),False,analysis/cache/nex_gddp_many_points/v1/historical/ACCESS-CM2/2007-12-27_2008-12-25_sites10_19b8409a20c2.parquet,ACCESS-CM2,historical
2008-12-26,2009-12-25,10,3650,4.98,2008-12-26:2009-12-25 | Nairobi..Cajamarca (10 sites),False,analysis/cache/nex_gddp_many_points/v1/historical/ACCESS-CM2/2008-12-26_2009-12-25_sites10_19b8409a20c2.parquet,ACCESS-CM2,historical
2009-12-26,2010-12-25,10,3650,9.32,2009-12-26:2010-12-25 | Nairobi..Cajamarca (10 sites),False,analysis/cache/nex_gddp_many_points/v1/historical/ACCESS-CM2/2009-12-26_2010-12-25_sites10_19b8409a20c2.parquet,ACCESS-CM2,historical
2010-12-26,2011-12-25,10,3650,9.11,2010-12-26:2011-12-25 | Nairobi..Cajamarca (10 sites),False,analysis/cache/nex_gddp_many_points/v1/historical/ACCESS-CM2/2010-12-26_2011-12-25_sites10_19b8409a20c2.parquet,ACCESS-CM2,historical
2011-12-26,2012-12-24,10,3650,7.46,2011-12-26:2012-12-24 | Nairobi..Cajamarca (10 sites),False,analysis/cache/nex_gddp_many_points/v1/historical/ACCESS-CM2/2011-12-26_2012-12-24_sites10_19b8409a20c2.parquet,ACCESS-CM2,historical
2012-12-25,2013-12-24,10,3650,7.02,2012-12-25:2013-12-24 | Nairobi..Cajamarca (10 sites),False,analysis/cache/nex_gddp_many_points/v1/historical/ACCESS-CM2/2012-12-25_2013-12-24_sites10_19b8409a20c2.parquet,ACCESS-CM2,historical
2013-12-25,2014-12-24,10,3650,6.55,2013-12-25:2014-12-24 | Nairobi..Cajamarca (10 sites),False,analysis/cache/nex_gddp_many_points/v1/historical/ACCESS-CM2/2013-12-25_2014-12-24_sites10_19b8409a20c2.parquet,ACCESS-CM2,historical
2014-12-25,2014-12-31,10,70,1.69,2014-12-25:2014-12-31 | Nairobi..Cajamarca (10 sites),False,analysis/cache/nex_gddp_many_points/v1/historical/ACCESS-CM2/2014-12-25_2014-12-31_sites10_19b8409a20c2.parquet,ACCESS-CM2,historical
1985-01-01,1985-12-31,10,3650,8.54,1985-01-01:1985-12-31 | Nairobi..Cajamarca (10 sites),False,analysis/cache/nex_gddp_many_points/v1/historical/EC-Earth3/1985-01-01_1985-12-31_sites10_19b8409a20c2.parquet,EC-Earth3,historical
1986-01-01,1986-12-31,10,3650,8.22,1986-01-01:1986-12-31 | Nairobi..Cajamarca (10 sites),False,analysis/cache/nex_gddp_many_points/v1/historical/EC-Earth3/1986-01-01_1986-12-31_sites10_19b8409a20c2.parquet,EC-Earth3,historical
