site,lat,lon,model,scenario,days,precip_mean_mm_day,precip_total_mm,tasmax_mean_c,tasmin_mean_c
Addis_Ababa,8.9806,38.7578,ACCESS-CM2,historical,10957,3.042,33328.1,24.925,10.63
Bamako,12.6392,-8.0029,ACCESS-CM2,historical,10957,2.601,28503.212,34.008,20.917
Cajamarca,-7.1617,-78.5128,ACCESS-CM2,historical,10957,1.658,18168.229,20.984,5.107
Cusco,-13.5319,-71.9675,ACCESS-CM2,historical,10957,1.906,20881.953,17.795,3.388
Kampala,0.3476,32.5825,ACCESS-CM2,historical,10957,3.943,43204.588,29.142,17.354
La_Paz,-16.4897,-68.1193,ACCESS-CM2,historical,10957,1.676,18361.408,12.538,-1.712
Lodwar,3.119,35.5973,ACCESS-CM2,historical,10957,0.751,8225.914,35.867,24.055
Nairobi,-1.286,36.817,ACCESS-CM2,historical,10957,2.291,25098.017,26.203,14.462
Niamey,13.5116,2.1254,ACCESS-CM2,historical,10957,1.572,17228.304,37.064,23.281
Quito,-0.1807,-78.4678,ACCESS-CM2,historical,10957,3.308,36250.613,22.876,9.5
Addis_Ababa,8.9806,38.7578,EC-Earth3,historical,10957,3.119,34176.477,25.104,10.842
Bamako,12.6392,-8.0029,EC-Earth3,historical,10957,2.705,29636.765,33.998,21.138
Cajamarca,-7.1617,-78.5128,EC-Earth3,historical,10957,1.778,19483.577,21.171,5.508
Cusco,-13.5319,-71.9675,EC-Earth3,historical,10957,1.955,21418.752,17.933,3.495
Kampala,0.3476,32.5825,EC-Earth3,historical,10957,3.882,42539.534,29.23,17.695
La_Paz,-16.4897,-68.1193,EC-Earth3,historical,10957,1.661,18195.719,12.591,-1.57
Lodwar,3.119,35.5973,EC-Earth3,historical,10957,0.774,8485.777,35.946,24.303
Nairobi,-1.286,36.817,EC-Earth3,historical,10957,2.4,26292.913,26.135,14.505
Niamey,13.5116,2.1254,EC-Earth3,historical,10957,1.687,18488.826,37.129,23.473
Quito,-0.1807,-78.4678,EC-Earth3,historical,10957,3.388,37118.06,23.021,9.917
Addis_Ababa,8.9806,38.7578,MRI-ESM2-0,historical,10957,3.106,34030.617,24.751,10.634
Bamako,12.6392,-8.0029,MRI-ESM2-0,historical,10957,2.623,28743.848,33.798,20.807
Cajamarca,-7.1617,-78.5128,MRI-ESM2-0,historical,10957,1.669,18290.646,20.905,5.045
Cusco,-13.5319,-71.9675,MRI-ESM2-0,historical,10957,1.856,20338.741,17.734,3.368
Kampala,0.3476,32.5825,MRI-ESM2-0,historical,10957,3.816,41815.198,29.033,17.265
La_Paz,-16.4897,-68.1193,MRI-ESM2-0,historical,10957,1.667,18270.676,12.45,-1.789
Lodwar,3.119,35.5973,MRI-ESM2-0,historical,10957,0.805,8825.34,35.635,23.794
Nairobi,-1.286,36.817,MRI-ESM2-0,historical,10957,2.429,26615.445,25.937,14.303
Niamey,13.5116,2.1254,MRI-ESM2-0,historical,10957,1.473,16141.352,36.887,23.059
Quito,-0.1807,-78.4678,MRI-ESM2-0,historical,10957,3.248,35589.727,22.687,9.379
