date_start,date_end,site_count,rows,seconds,label,cache_hit,cache_path,model,scenario
2041-01-01,2041-12-31,10,3650,7.55,2041-01-01:2041-12-31 | Nairobi..Cajamarca (10 sites),False,analysis/cache/nex_gddp_many_points/v1/ssp245/ACCESS-CM2/2041-01-01_2041-12-31_sites10_19b8409a20c2.parquet,ACCESS-CM2,ssp245
2042-01-01,2042-12-31,10,3650,8.53,2042-01-01:2042-12-31 | Nairobi..Cajamarca (10 sites),False,analysis/cache/nex_gddp_many_points/v1/ssp245/ACCESS-CM2/2042-01-01_2042-12-31_sites10_19b8409a20c2.parquet,ACCESS-CM2,ssp245
2043-01-01,2043-12-31,10,3650,6.9,2043-01-01:2043-12-31 | Nairobi..Cajamarca (10 sites),False,analysis/cache/nex_gddp_many_points/v1/ssp245/ACCESS-CM2/2043-01-01_2043-12-31_sites10_19b8409a20c2.parquet,ACCESS-CM2,ssp245
2044-01-01,2044-12-30,10,3650,8.08,2044-01-01:2044-12-30 | Nairobi..Cajamarca (10 sites),False,analysis/cache/nex_gddp_many_points/v1/ssp245/ACCESS-CM2/2044-01-01_2044-12-30_sites10_19b8409a20c2.parquet,ACCESS-CM2,ssp245
2044-12-31,2045-12-30,10,3650,5.89,2044-12-31:2045-12-30 | Nairobi..Cajamarca (10 sites),False,analysis/cache/nex_gddp_many_points/v1/ssp245/ACCESS-CM2/2044-12-31_2045-12-30_sites10_19b8409a20c2.parquet,ACCESS-CM2,ssp245
2045-12-31,2046-12-30,10,3650,8.48,2045-12-31:2046-12-30 | Nairobi..Cajamarca (10 sites),False,analysis/cache/nex_gddp_many_points/v1/ssp245/ACCESS-CM2/2045-12-31_2046-12-30_sites10_19b8409a20c2.parquet,ACCESS-CM2,ssp245
2046-12-31,2047-12-30,10,3650,7.37,2046-12-31:2047-12-30 | Nairobi..Cajamarca (10 sites),False,analysis/cache/nex_gddp_many_points/v1/ssp245/ACCESS-CM2/2046-12-31_2047-12-30_sites10_19b8409a20c2.parquet,ACCESS-CM2,ssp245
2047-12-31,2048-12-29,10,3650,13.13,2047-12-31:2048-12-29 | Nairobi..Cajamarca (10 sites),False,analysis/cache/nex_gddp_many_points/v1/ssp245/ACCESS-CM2/2047-12-31_2048-12-29_sites10_19b8409a20c2.parquet,ACCESS-CM2,ssp245
2048-12-30,2049-12-29,10,3650,8.37,2048-12-30:2049-12-29 | Nairobi..Cajamarca (10 sites),False,analysis/cache/nex_gddp_many_points/v1/ssp245/ACCESS-CM2/2048-12-30_2049-12-29_sites10_19b8409a20c2.parquet,ACCESS-CM2,ssp245
2049-12-30,2050-12-29,10,3650,6.14,2049-12-30:2050-12-29 | Nairobi..Cajamarca (10 sites),False,analysis/cache/nex_gddp_many_points/v1/ssp245/ACCESS-CM2/2049-12-30_2050-12-29_sites10_19b8409a20c2.parquet,ACCESS-CM2,ssp245
2050-12-30,2051-12-29,10,3650,7.5,2050-12-30:2051-12-29 | Nairobi..Cajamarca (10 sites),False,analysis/cache/nex_gddp_many_points/v1/ssp245/ACCESS-CM2/2050-12-30_2051-12-29_sites10_19b8409a20c2.parquet,ACCESS-CM2,ssp245
