site,lat,lon,model,scenario,days,precip_mean_mm_day,precip_total_mm,tasmax_mean_c,tasmin_mean_c
Addis_Ababa,8.9806,38.7578,ACCESS-CM2,ssp245,10957,3.698,40523.439,26.971,13.277
Bamako,12.6392,-8.0029,ACCESS-CM2,ssp245,10957,2.985,32705.475,36.412,23.756
Cajamarca,-7.1617,-78.5128,ACCESS-CM2,ssp245,10957,2.119,23221.899,23.043,7.141
Cusco,-13.5319,-71.9675,ACCESS-CM2,ssp245,10957,2.212,24238.335,20.186,5.631
Kampala,0.3476,32.5825,ACCESS-CM2,ssp245,10957,4.378,47971.285,31.032,19.661
La_Paz,-16.4897,-68.1193,ACCESS-CM2,ssp245,10957,1.653,18110.979,15.158,0.424
Lodwar,3.119,35.5973,ACCESS-CM2,ssp245,10957,1.024,11221.986,37.725,27.063
Nairobi,-1.286,36.817,ACCESS-CM2,ssp245,10957,2.909,31879.319,28.035,16.906
Niamey,13.5116,2.1254,ACCESS-CM2,ssp245,10957,2.297,25169.33,39.476,26.498
Quito,-0.1807,-78.4678,ACCESS-CM2,ssp245,10957,3.691,40439.441,24.85,11.252
Addis_Ababa,8.9806,38.7578,EC-Earth3,ssp245,10957,3.176,34797.977,26.351,12.66
Bamako,12.6392,-8.0029,EC-Earth3,ssp245,10957,3.329,36479.351,35.112,22.717
Cajamarca,-7.1617,-78.5128,EC-Earth3,ssp245,10957,2.765,30301.129,22.47,7.765
Cusco,-13.5319,-71.9675,EC-Earth3,ssp245,10957,2.608,28575.447,19.715,5.284
Kampala,0.3476,32.5825,EC-Earth3,ssp245,10957,3.676,40277.947,30.548,20.048
La_Paz,-16.4897,-68.1193,EC-Earth3,ssp245,10957,1.793,19645.449,14.235,0.287
Lodwar,3.119,35.5973,EC-Earth3,ssp245,10957,1.242,13606.29,37.203,26.352
Nairobi,-1.286,36.817,EC-Earth3,ssp245,10957,2.639,28913.909,27.643,16.351
Niamey,13.5116,2.1254,EC-Earth3,ssp245,10957,3.006,32931.448,38.557,25.814
Quito,-0.1807,-78.4678,EC-Earth3,ssp245,10957,3.851,42198.921,24.244,11.586
Addis_Ababa,8.9806,38.7578,MRI-ESM2-0,ssp245,10957,3.559,38999.397,26.327,12.632
Bamako,12.6392,-8.0029,MRI-ESM2-0,ssp245,10957,2.519,27600.877,35.662,22.627
Cajamarca,-7.1617,-78.5128,MRI-ESM2-0,ssp245,10957,1.861,20389.511,22.529,6.537
Cusco,-13.5319,-71.9675,MRI-ESM2-0,ssp245,10957,2.117,23197.132,19.492,4.746
Kampala,0.3476,32.5825,MRI-ESM2-0,ssp245,10957,4.077,44676.898,30.105,18.822
La_Paz,-16.4897,-68.1193,MRI-ESM2-0,ssp245,10957,1.79,19613.008,14.25,-0.348
Lodwar,3.119,35.5973,MRI-ESM2-0,ssp245,10957,0.815,8932.954,37.044,25.383
Nairobi,-1.286,36.817,MRI-ESM2-0,ssp245,10957,2.627,28778.829,27.186,15.763
Niamey,13.5116,2.1254,MRI-ESM2-0,ssp245,10957,1.708,18711.732,38.621,24.977
Quito,-0.1807,-78.4678,MRI-ESM2-0,ssp245,10957,3.34,36591.429,24.037,10.765
