date_start,date_end,site_count,rows,seconds,label,cache_hit,cache_path,model,scenario
2041-01-01,2041-12-31,3,1095,4.15,2041-01-01:2041-12-31 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/ssp585/ACCESS-CM2/2041-01-01_2041-12-31_sites3_c0f7d05dac86.parquet,ACCESS-CM2,ssp585
2042-01-01,2042-12-31,3,1095,5.32,2042-01-01:2042-12-31 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/ssp585/ACCESS-CM2/2042-01-01_2042-12-31_sites3_c0f7d05dac86.parquet,ACCESS-CM2,ssp585
2043-01-01,2043-12-31,3,1095,3.97,2043-01-01:2043-12-31 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/ssp585/ACCESS-CM2/2043-01-01_2043-12-31_sites3_c0f7d05dac86.parquet,ACCESS-CM2,ssp585
2044-01-01,2044-12-30,3,1095,4.75,2044-01-01:2044-12-30 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/ssp585/ACCESS-CM2/2044-01-01_2044-12-30_sites3_c0f7d05dac86.parquet,ACCESS-CM2,ssp585
2044-12-31,2045-12-30,3,1095,5.05,2044-12-31:2045-12-30 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/ssp585/ACCESS-CM2/2044-12-31_2045-12-30_sites3_c0f7d05dac86.parquet,ACCESS-CM2,ssp585
2045-12-31,2046-12-30,3,1095,5.53,2045-12-31:2046-12-30 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/ssp585/ACCESS-CM2/2045-12-31_2046-12-30_sites3_c0f7d05dac86.parquet,ACCESS-CM2,ssp585
2046-12-31,2047-12-30,3,1095,4.86,2046-12-31:2047-12-30 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/ssp585/ACCESS-CM2/2046-12-31_2047-12-30_sites3_c0f7d05dac86.parquet,ACCESS-CM2,ssp585
2047-12-31,2048-12-29,3,1095,4.82,2047-12-31:2048-12-29 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/ssp585/ACCESS-CM2/2047-12-31_2048-12-29_sites3_c0f7d05dac86.parquet,ACCESS-CM2,ssp585
2048-12-30,2049-12-29,3,1095,5.31,2048-12-30:2049-12-29 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/ssp585/ACCESS-CM2/2048-12-30_2049-12-29_sites3_c0f7d05dac86.parquet,ACCESS-CM2,ssp585
2049-12-30,2050-12-29,3,1095,4.73,2049-12-30:2050-12-29 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/ssp585/ACCESS-CM2/2049-12-30_2050-12-29_sites3_c0f7d05dac86.parquet,ACCESS-CM2,ssp585
2050-12-30,2051-12-29,3,1095,3.83,2050-12-30:2051-12-29 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/ssp585/ACCESS-CM2/2050-12-30_2051-12-29_sites3_c0f7d05dac86.parquet,ACCESS-CM2,ssp585
2051-12-30,2052-12-28,3,1095,5.06,2051-12-30:2052-12-28 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/ssp585/ACCESS-CM2/2051-12-30_2052-12-28_sites3_c0f7d05dac86.parquet,ACCESS-CM2,ssp585
