"Site.ID","Latitude","Longitude","Study.Start","Study.End","fixed_season"
"Awassa",7.1,38.5,1996,2000,"Feb:May,Jun:Sep"
"Chebunyo",-0.969315,35.1942,1987,1994,"Apr:Jun,Oct:Dec"
"Weruga",-3.399795,38.3637,1987,1994,"Apr:Jun,Oct:Dec"
"Kand. Kareti",-0.706135,37.051469,1987,1994,"Apr:Jun,Oct:Dec"
"Chepkumia",0.1365443,34.9587,1987,1994,"Apr:Jun,Oct:Dec"
"Sosiot",-0.367118,35.17586,1987,1994,"Apr:Jun,Oct:Dec"
"Otamba",-0.722862,34.76293,1987,1994,"Apr:Jun,Oct:Dec"
"Githunguri",-1.049447,36.72883,1987,1994,"Apr:Jun,Oct:Dec"
"Vih. Maragoli",0.0053974,34.6631,1987,1994,"Apr:Jun,Oct:Dec"
"Upepo",0.073326,36.316216,1987,1994,"Apr:Jun,Oct:Dec"
"Ol Ngarua",0.311416,36.26194,1987,1994,"Apr:Jun,Oct:Dec"
"Rotian",-1.0150798,35.89619,1987,1994,"Apr:Jun,Oct:Dec"
"Eld. Ravine",0.04979678,35.712548,1987,1994,"Apr:Jun,Oct:Dec"
"Baraton",0.24385713,35.086241,1987,1994,"Apr:Jun,Oct:Dec"
"Kapenguria",1.2456264,35.130124,1987,1994,"Apr:Jun,Oct:Dec"
"Bugar",0.7484218,35.50894,1987,1994,"Apr:Jun,Oct:Dec"
"Kiamokama",-0.8350578,34.88556,1987,1994,"Apr:Jun,Oct:Dec"
"Ol Joro Orok",-0.084894,36.38033,1987,1994,"Apr:Jun,Oct:Dec"
"Mau Summit",-0.1630869,35.705721,1987,1994,"Apr:Jun,Oct:Dec"
"Njambini",-0.73376831,36.659376,1987,1994,"Apr:Jun,Oct:Dec"
"Tongaren",0.75272,34.907,1987,1994,"Apr:Jun,Oct:Dec"
"Turbo",0.603037,35.11684,1987,1994,"Apr:Jun,Oct:Dec"
"Kamakoiwa",0.7776151,34.79492,1987,1994,"Apr:Jun,Oct:Dec"
"Kaguru ATC",-0.0869761,37.66396,1987,1994,"Apr:Jun,Oct:Dec"
"Kerugoya",-0.5056138,37.28628,1987,1994,"Apr:Jun,Oct:Dec"
"Kavutiri",-0.429157,37.47443,1987,1994,"Apr:Jun,Oct:Dec"
"Moi TTC",0.497713,35.32352,1987,1994,"Apr:Jun,Oct:Dec"
"Tulaga",-0.64747948,36.6090239,1987,1994,"Apr:Jun,Oct:Dec"
"AREX Training Centre farm, Domboshava",-17.58333,31.16667,1992,2006,"Nov:Mar"
"Cinzana ARS_loamy",13.279,-5.934,1990,1998,"May:Oct"
"Cinzana ARS_clay",13.279,-5.934,1990,1998,"May:Oct"
"Ngoungoumou",3.25,12.05,1998,2005,"d-Mar:-July,Sep:d-Nov"
"Evendissi",3.45,11.41667,1998,2005,"d-Mar:-July,Sep:d-Nov"
"May Zegzeg",13.65,39.16667,2005,2010,"d-Jun:d-Sep"
"Alemaya University Hirna Station",9.219,41.114,1986,1995,"Mar:May,July:Sep"
"Samaru",11,7.7,1972,1980,"May:Sep"
"ICIPE Campus, Mbita Point",-0.431,34.208,2004,2010,"Mar:Jun,Sep:Dec"
"ICRISAT, Sadore",13.2343,2.284,1991,1998,"Jun:Sep"
"IITA Conotou",6.4193,2.3295,1985,1992,"Apr:July,Sep:Nov"
"IITA, Ibadan",7.498,3.903,1981,1993,"Apr:July,Sep:Oct"
"IITA, Ibadan",7.498,3.903,1986,2002,"May:July,Sep:Nov"
"IITA, Ibadan",7.498,3.903,1982,1987,"Mar:July,Aug:Nov"
"IITA, Ibadan",7.498,3.903,1978,1983,"Mar:July,Aug:Nov"
"IITA, Ibadan",7.498,3.903,1970,1987,"e-Mar:-July,Aug:Nov"
"IITA, Ibadan",7.498,3.903,1980,1987,"Apr:July,Aug:Nov"
"IITA, Ibadan",7.498,3.903,1982,1987,"d-Mar:-July,d-Aug:Oct"
"IITA, Mbalmayo",3.466,11.487,1990,1996,"d-Mar:Jun,Sep:Nov"
"IITA, Onne",4.719,7.178,1983,1988,"Mar:Nov"
"IITA, Sendusu NaCRRI, Namulonge",0.5312,32.6118,1993,1997,"Mar:Jun,Sep:Dec"
"INERA, Saria",12.2778,-2.1551,1982,1992,"July:y-Oct"
"INERA, Saria",12.2778,-2.1551,1980,2006,"May:Oct"
"INERA, Saria",12.2778,-2.1551,1980,2002,"May:Oct"
"INERA, Saria",12.2778,-2.1551,1990,1999,"May:Oct"
"INERA, Saria",12.2778,-2.1551,1990,2000,"May:Oct"
"Irrigation Research Station, Kadawa",11.647,8.448,1981,1985,"Jun:Sep"
"Kagasa",-1.924224,29.990175,1984,1989,"Oct:d-Dec,d-Feb:May"
"western Kenya 5",0.22889,34.90639,2005,2006,"Mar:Aug,Sep:Jan"
